,nearby_id_1,nearby_id_2,nearby_id_3,nearby_id_4,nearby_id_5,nearby_id_6,nearby_id_7,nearby_id_8,nearby_id_9,nearby_id_10,nearby_id_11,nearby_id_12,nearby_id_13,nearby_id_14,nearby_id_15,nearby_id_16,nearby_id_17,nearby_id_18,nearby_id_19,nearby_id_20,nearby_id_21,nearby_id_22,nearby_id_23,nearby_id_24,nearby_id_25,nearby_id_26,nearby_id_27,nearby_id_28
210,4.0,15.0,80.0,102.0,136.0,219.0,419.0,547.0,548.0,592.0,,,,,,,,,,,,,,,,,,
211,302.0,489.0,704.0,905.0,918.0,934.0,969.0,1009.0,1045.0,,,,,,,,,,,,,,,,,,,
212,122.0,188.0,224.0,728.0,,,,,,,,,,,,,,,,,,,,,,,,
213,12.0,27.0,30.0,46.0,122.0,181.0,206.0,231.0,263.0,661.0,680.0,682.0,848.0,1041.0,,,,,,,,,,,,,,
214,1012.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,217.0,452.0,981.0,1099.0,,,,,,,,,,,,,,,,,,,,,,,,
216,216.0,452.0,981.0,1099.0,,,,,,,,,,,,,,,,,,,,,,,,
217,275.0,308.0,339.0,501.0,511.0,534.0,565.0,566.0,617.0,1154.0,,,,,,,,,,,,,,,,,,
218,4.0,15.0,80.0,102.0,136.0,211.0,419.0,547.0,548.0,592.0,,,,,,,,,,,,,,,,,,
219,202.0,247.0,,,,,,,,,,,,,,,,,,,,,,,,,,
220,16.0,187.0,248.0,288.0,329.0,330.0,331.0,365.0,422.0,423.0,424.0,430.0,885.0,,,,,,,,,,,,,,,
221,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,486.0,535.0,571.0,578.0,617.0,,,,,,,,,,,,,,,,,,,,,,,
223,122.0,188.0,213.0,728.0,,,,,,,,,,,,,,,,,,,,,,,,
224,35.0,36.0,138.0,418.0,1144.0,,,,,,,,,,,,,,,,,,,,,,,
225,896.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,72.0,358.0,587.0,670.0,883.0,,,,,,,,,,,,,,,,,,,,,,,
227,77.0,996.0,1042.0,1077.0,,,,,,,,,,,,,,,,,,,,,,,,
228,132.0,149.0,265.0,315.0,346.0,375.0,395.0,396.0,402.0,412.0,460.0,462.0,463.0,481.0,493.0,496.0,503.0,507.0,532.0,543.0,608.0,635.0,,,,,,
229,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,12.0,27.0,30.0,46.0,122.0,181.0,206.0,214.0,263.0,661.0,680.0,682.0,848.0,1041.0,,,,,,,,,,,,,,
231,166.0,482.0,842.0,1089.0,,,,,,,,,,,,,,,,,,,,,,,,
232,119.0,163.0,167.0,189.0,208.0,234.0,279.0,280.0,283.0,284.0,289.0,323.0,324.0,328.0,341.0,342.0,343.0,354.0,363.0,564.0,740.0,1013.0,,,,,,
